1	14	49
1	14	50
1	14	50
1	14	51
1	14	51
1	15	52
0	15	52
0	15	53
0	15	53
0	15	53
0	15	54
0	16	56
0	17	57
0	17	59
0	18	60
1	19	62
1	20	64
1	21	65
1	21	67
1	22	68
1	23	70
1	24	71
1	24	71
1	25	72
1	26	73
2	26	74
2	27	74
2	28	75
2	29	76
2	29	76
2	30	77
2	30	77
3	29	77
3	28	77
3	28	77
4	28	78
4	27	78
4	26	78
4	26	78
5	26	78
5	25	78
7	28	80
8	31	82
10	34	84
11	37	86
13	40	88
15	42	89
16	45	91
18	48	93
19	51	95
21	54	97
22	57	98
22	60	99
23	63	99
24	66	100
24	70	101
25	73	102
26	76	103
27	79	103
27	82	104
28	85	105
27	86	106
26	87	106
26	88	106
25	89	107
24	90	108
23	92	108
22	93	109
22	94	109
21	95	110
20	96	110
23	99	109
25	102	108
28	105	108
31	108	107
34	112	106
36	115	105
39	118	104
42	121	104
44	124	103
47	127	102
48	126	99
50	125	96
51	124	93
52	123	90
54	122	87
55	120	83
56	119	80
57	118	77
59	117	74
60	116	71
61	116	69
62	117	66
62	117	64
63	118	62
64	118	60
65	118	57
66	119	55
66	119	53
67	120	50
68	120	48
64	115	46
60	110	44
57	105	42
53	100	40
49	96	39
45	91	37
41	86	35
38	81	33
34	76	31
30	71	29
33	71	29
35	71	29
38	71	28
40	71	28
43	71	28
45	70	28
48	70	28
50	70	27
53	70	27
55	70	27
