#
#  HY1C/CZI RSR
#
#  from Excel files received from Shen Fang 
#
#  Tabulated QV 2023-01-24
#
# Wavelength (nm)	RSR
#
# BAND 1 Blue
854	0.8600630992
862	0.8294257788
870	0.7867479
878	0.7463481954
886	0.5613591836
894	0.0956390932
902	0.008982644
910	0.001733492
918	0.0007770306
926	0.000505732
934	0.0004507048
942	0.0006194476
950	0.001156012
958	0.0006486398
966	0.000326787
974	0.0002802606
982	0.0002523464
990	0.000246226
998	0.000237787
#
