# Quinten Vanhellemont 2022-12-15 from Landsat5MSS_Ba\ndAverageRSR.xls
# https://landsat.gsfc.nasa.gov
#
#  Landsat 5 MSS Band 1
#
#  Wavelength
#   (microns)	Reflectance
#
0.45	0.000
0.46	0.000
0.47	0.007
0.48	0.027
0.49	0.219
0.5	0.644
0.51	0.823
0.52	0.885
0.53	0.965
0.54	0.955
0.55	1.000
0.56	0.973
0.57	0.978
0.58	0.927
0.59	0.948
0.6	0.731
0.61	0.386
0.62	0.087
0.63	0.035
0.64	0.015
0.65	0.005
#
#  Landsat 5 MSS Band 2
#
#  Wavelength
#   (microns)	Reflectance
#
0.550	0.000
0.560	0.000
0.570	0.000
0.580	0.000
0.590	0.030
0.600	0.380
0.610	0.793
0.620	0.935
0.630	0.980
0.640	1.000
0.650	0.953
0.660	0.915
0.670	0.890
0.680	0.855
0.690	0.807
0.700	0.340
0.710	0.060
0.720	0.012
0.730	0.000
0.740	0.000
0.750	0.000
#
#  Landsat 5 MSS Band 3
#
#  Wavelength
#   (microns)	Reflectance
#
0.650	0.000
0.660	0.000
0.670	0.000
0.680	0.010
0.690	0.063
0.700	0.257
0.710	0.885
0.720	1.000
0.730	0.938
0.740	0.885
0.750	0.885
0.760	0.880
0.770	0.827
0.780	0.818
0.790	0.788
0.800	0.725
0.810	0.717
0.820	0.178
0.830	0.022
0.840	0.005
0.850	0.000
#
#  Landsat 5 MSS Band 4
#
#  Wavelength
#   (microns)	Reflectance
#
0.74	0
0.76	0
0.78	0.0101010101010101
0.8	0.146464646464646
0.82	0.94949494949495
0.84	1
0.86	0.984848484848485
0.88	0.986531986531987
0.9	0.986531986531987
0.92	0.978114478114478
0.94	0.924242424242424
0.96	0.867003367003367
0.98	0.801346801346801
1	0.71043771043771
1.02	0.572390572390572
1.04	0.488215488215488
1.06	0.378787878787879
1.08	0.296296296296296
1.1	0.205387205387205
1.12	0.117845117845118
1.14	0.0404040404040404
