# GOES17_ABI RSR
# QV 2025-06-04 from ABI-16-045_FM2_Spectral_Response_Curves.xlsx
# filtered to response > 0.002
# TIR bands
# GOES17_ABI Band CH390
# -------------------
3.739017 0.021156
3.739156 0.021383
3.739296 0.021611
3.739436 0.021838
3.739576 0.022065
3.739716 0.022291
3.739856 0.022516
3.739996 0.022739
3.740135 0.022961
3.740275 0.023181
3.740415 0.023399
3.740555 0.023617
3.740695 0.023833
3.740835 0.024047
3.740975 0.02426
3.741115 0.024472
3.741255 0.024683
3.741395 0.024893
3.741535 0.025102
3.741675 0.02531
3.741815 0.025518
3.741955 0.025724
3.742095 0.025928
3.742235 0.026129
3.742375 0.026328
3.742515 0.026526
3.742655 0.026726
3.742795 0.026929
3.742935 0.027136
3.743075 0.027349
3.743215 0.027567
3.743356 0.027788
3.743496 0.028014
3.743636 0.028243
3.743776 0.028476
3.743916 0.028716
3.744056 0.028967
3.744196 0.029226
3.744337 0.029489
3.744477 0.029755
3.744617 0.030026
3.744757 0.030302
3.744898 0.030584
3.745038 0.030875
3.745178 0.031168
3.745318 0.031463
3.745459 0.031762
3.745599 0.032067
3.745739 0.032381
3.74588 0.032707
3.74602 0.033046
3.74616 0.033406
3.746301 0.033785
3.746441 0.034177
3.746581 0.034578
3.746722 0.034981
3.746862 0.035392
3.747002 0.035815
3.747143 0.036264
3.747283 0.036724
3.747424 0.037194
3.747564 0.037671
3.747705 0.038154
3.747845 0.038643
3.747985 0.039147
3.748126 0.039665
3.748266 0.04019
3.748407 0.040721
3.748547 0.041259
3.748688 0.041803
3.748828 0.042353
3.748969 0.042909
3.74911 0.043474
3.74925 0.044051
3.749391 0.044635
3.749531 0.045221
3.749672 0.045813
3.749813 0.046406
3.749953 0.046997
3.750094 0.047581
3.750234 0.048162
3.750375 0.048744
3.750516 0.049324
3.750656 0.049904
3.750797 0.05048
3.750938 0.051053
3.751078 0.051618
3.751219 0.052179
3.75136 0.052738
3.751501 0.053295
3.751641 0.053849
3.751782 0.054402
3.751923 0.054953
3.752064 0.055502
3.752204 0.056045
3.752345 0.056585
3.752486 0.057123
3.752627 0.05766
3.752768 0.058197
3.752909 0.058733
3.753049 0.059269
3.75319 0.059803
3.753331 0.060338
3.753472 0.060873
3.753613 0.061409
3.753754 0.061945
3.753895 0.062483
3.754036 0.063026
3.754177 0.06357
3.754317 0.064114
3.754458 0.064662
3.754599 0.065214
3.75474 0.065774
3.754881 0.066343
3.755022 0.066934
3.755163 0.067542
3.755304 0.068156
3.755445 0.06878
3.755586 0.069415
3.755727 0.070063
3.755869 0.070728
3.75601 0.071411
3.756151 0.072126
3.756292 0.072869
3.756433 0.073629
3.756574 0.074396
3.756715 0.07518
3.756856 0.075973
3.756997 0.076763
3.757139 0.077551
3.75728 0.078345
3.757421 0.079144
3.757562 0.079948
3.757703 0.080756
3.757845 0.08157
3.757986 0.082391
3.758127 0.08322
3.758268 0.084054
3.758409 0.084893
3.758551 0.085736
3.758692 0.086586
3.758833 0.087441
3.758975 0.088302
3.759116 0.089171
3.759257 0.090049
3.759398 0.090935
3.75954 0.091827
3.759681 0.092726
3.759823 0.093635
3.759964 0.094551
3.760105 0.095473
3.760247 0.096405
3.760388 0.097349
3.760529 0.098296
3.760671 0.099248
3.760812 0.10021
3.760954 0.101184
3.761095 0.10217
3.761237 0.103153
3.761378 0.104141
3.76152 0.105141
3.761661 0.106162
3.761803 0.107212
3.761944 0.108299
3.762086 0.109435
3.762227 0.11063
3.762369 0.111871
3.76251 0.113143
3.762652 0.114428
3.762793 0.115711
3.762935 0.116992
3.763077 0.118278
3.763218 0.119561
3.76336 0.120854
3.763502 0.122154
3.763643 0.123459
3.763785 0.124772
3.763927 0.126092
3.764068 0.127422
3.76421 0.128763
3.764352 0.130112
3.764493 0.131466
3.764635 0.132825
3.764777 0.134184
3.764918 0.13554
3.76506 0.136893
3.765202 0.138245
3.765344 0.139597
3.765486 0.140949
3.765627 0.142301
3.765769 0.143653
3.765911 0.145006
3.766053 0.146359
3.766195 0.147712
3.766336 0.149064
3.766478 0.150415
3.76662 0.151766
3.766762 0.153115
3.766904 0.154464
3.767046 0.155814
3.767188 0.157162
3.76733 0.158506
3.767472 0.159852
3.767614 0.1612
3.767756 0.162553
3.767898 0.163913
3.768039 0.165284
3.768181 0.166666
3.768323 0.168058
3.768465 0.169456
3.768608 0.170857
3.76875 0.172265
3.768892 0.173678
3.769034 0.175097
3.769176 0.176523
3.769318 0.177956
3.76946 0.179395
3.769602 0.180839
3.769744 0.182289
3.769886 0.183745
3.770028 0.185207
3.77017 0.186672
3.770313 0.188138
3.770455 0.189608
3.770597 0.191082
3.770739 0.192561
3.770881 0.194048
3.771023 0.195542
3.771166 0.197051
3.771308 0.198574
3.77145 0.200103
3.771592 0.201639
3.771735 0.203182
3.771877 0.204736
3.772019 0.206301
3.772161 0.207883
3.772304 0.20948
3.772446 0.211085
3.772588 0.212702
3.772731 0.21433
3.772873 0.215963
3.773015 0.217612
3.773158 0.219272
3.7733 0.220937
3.773443 0.22261
3.773585 0.224293
3.773727 0.225987
3.77387 0.227696
3.774012 0.229425
3.774155 0.23121
3.774297 0.233006
3.774439 0.234817
3.774582 0.236643
3.774724 0.23849
3.774867 0.240358
3.775009 0.242252
3.775152 0.244182
3.775294 0.246148
3.775437 0.248138
3.77558 0.250141
3.775722 0.252157
3.775865 0.25419
3.776007 0.256226
3.77615 0.258277
3.776292 0.260337
3.776435 0.262403
3.776578 0.264476
3.77672 0.266554
3.776863 0.268638
3.777006 0.270736
3.777148 0.272846
3.777291 0.274965
3.777434 0.277091
3.777576 0.279221
3.777719 0.281353
3.777862 0.283485
3.778004 0.285615
3.778147 0.287745
3.77829 0.289876
3.778433 0.292009
3.778575 0.294141
3.778718 0.296273
3.778861 0.298403
3.779004 0.30053
3.779147 0.302647
3.779289 0.304759
3.779432 0.306869
3.779575 0.308979
3.779718 0.311087
3.779861 0.313195
3.780004 0.315304
3.780147 0.317417
3.78029 0.319532
3.780432 0.321648
3.780575 0.323764
3.780718 0.325879
3.780861 0.327993
3.781004 0.330103
3.781147 0.33221
3.78129 0.334314
3.781433 0.336416
3.781576 0.338517
3.781719 0.340618
3.781862 0.34272
3.782005 0.344822
3.782148 0.346926
3.782291 0.349034
3.782434 0.351143
3.782577 0.353253
3.782721 0.355364
3.782864 0.357476
3.783007 0.359589
3.78315 0.361704
3.783293 0.363821
3.783436 0.365939
3.783579 0.368057
3.783722 0.370172
3.783866 0.372285
3.784009 0.374393
3.784152 0.376496
3.784295 0.378594
3.784438 0.380688
3.784582 0.382782
3.784725 0.384875
3.784868 0.386969
3.785011 0.389067
3.785155 0.391168
3.785298 0.39327
3.785441 0.395379
3.785584 0.397491
3.785728 0.399606
3.785871 0.401725
3.786014 0.403847
3.786158 0.405972
3.786301 0.4081
3.786445 0.41023
3.786588 0.412364
3.786731 0.4145
3.786875 0.41664
3.787018 0.418784
3.787162 0.420932
3.787305 0.423085
3.787448 0.425241
3.787592 0.4274
3.787735 0.429561
3.787879 0.431724
3.788022 0.433892
3.788166 0.436065
3.788309 0.438241
3.788453 0.440418
3.788596 0.442595
3.78874 0.44477
3.788883 0.446947
3.789027 0.449128
3.789171 0.451312
3.789314 0.453496
3.789458 0.455682
3.789601 0.457873
3.789745 0.460069
3.789889 0.462273
3.790032 0.464485
3.790176 0.466706
3.79032 0.468936
3.790463 0.471179
3.790607 0.473435
3.790751 0.475702
3.790894 0.477987
3.791038 0.480303
3.791182 0.482648
3.791325 0.485017
3.791469 0.487404
3.791613 0.489807
3.791757 0.492239
3.791901 0.494677
3.792044 0.49712
3.792188 0.499567
3.792332 0.502017
3.792476 0.504469
3.79262 0.506921
3.792763 0.509371
3.792907 0.51182
3.793051 0.514264
3.793195 0.516705
3.793339 0.519139
3.793483 0.521571
3.793627 0.524
3.793771 0.526423
3.793915 0.528833
3.794059 0.531225
3.794202 0.5336
3.794346 0.535961
3.79449 0.538315
3.794634 0.540666
3.794778 0.54302
3.794922 0.545375
3.795066 0.54774
3.79521 0.550115
3.795354 0.552495
3.795499 0.554879
3.795643 0.557265
3.795787 0.559654
3.795931 0.562043
3.796075 0.564433
3.796219 0.566828
3.796363 0.569229
3.796507 0.571631
3.796651 0.57403
3.796796 0.576423
3.79694 0.578806
3.797084 0.581174
3.797228 0.583533
3.797372 0.585883
3.797516 0.588225
3.797661 0.590563
3.797805 0.592896
3.797949 0.595224
3.798093 0.597541
3.798238 0.599854
3.798382 0.602161
3.798526 0.604466
3.79867 0.606768
3.798815 0.609069
3.798959 0.61137
3.799103 0.613666
3.799248 0.615956
3.799392 0.618242
3.799536 0.62053
3.799681 0.622823
3.799825 0.625126
3.79997 0.627444
3.800114 0.62978
3.800258 0.632133
3.800403 0.634498
3.800547 0.63687
3.800692 0.639246
3.800836 0.641619
3.800981 0.643986
3.801125 0.646344
3.80127 0.64871
3.801414 0.651077
3.801559 0.653441
3.801703 0.655801
3.801848 0.658158
3.801992 0.660503
3.802137 0.662841
3.802281 0.665184
3.802426 0.667522
3.802571 0.669849
3.802715 0.672156
3.80286 0.674438
3.803004 0.676685
3.803149 0.678896
3.803294 0.681078
3.803438 0.683235
3.803583 0.685375
3.803728 0.687502
3.803872 0.689622
3.804017 0.691741
3.804162 0.693845
3.804306 0.695935
3.804451 0.698015
3.804596 0.700084
3.804741 0.702144
3.804885 0.704188
3.80503 0.706212
3.805175 0.708207
3.80532 0.710181
3.805465 0.712147
3.805609 0.714115
3.805754 0.716097
3.805899 0.718104
3.806044 0.720148
3.806189 0.722225
3.806334 0.724326
3.806479 0.726448
3.806624 0.728584
3.806768 0.730729
3.806913 0.732877
3.807058 0.735025
3.807203 0.73719
3.807348 0.739362
3.807493 0.74154
3.807638 0.74372
3.807783 0.745902
3.807928 0.748084
3.808073 0.750264
3.808218 0.752454
3.808363 0.75465
3.808508 0.756846
3.808653 0.759037
3.808798 0.761218
3.808943 0.763385
3.809088 0.765533
3.809234 0.767669
3.809379 0.769794
3.809524 0.771909
3.809669 0.774016
3.809814 0.776117
3.809959 0.778214
3.810104 0.780294
3.81025 0.782361
3.810395 0.784419
3.81054 0.786469
3.810685 0.788506
