# GOES18_ABI RSR
# QV 2025-06-04 from ABI-16-046_FM3_Spectral_Response_Curves.xlsx
# filtered to response > 0.002
# VSWIR bands
# GOES18_ABI Band CH047
# -------------------
0.448954 0.346784
0.448974 0.349551
0.448994 0.352279
0.449014 0.354967
0.449035 0.357623
0.449055 0.36025
0.449075 0.362849
0.449095 0.365421
0.449115 0.36797
0.449135 0.370496
0.449156 0.373002
0.449176 0.375489
0.449196 0.377959
0.449216 0.380414
0.449236 0.382857
0.449256 0.385288
0.449277 0.387709
0.449297 0.390124
0.449317 0.392535
0.449337 0.39495
0.449357 0.397366
0.449378 0.399784
0.449398 0.402203
0.449418 0.40462
0.449438 0.407036
0.449458 0.409449
0.449479 0.411858
0.449499 0.414263
0.449519 0.416662
0.449539 0.419054
0.449559 0.421439
0.44958 0.423815
0.4496 0.426182
0.44962 0.428538
0.44964 0.430883
0.449661 0.433215
0.449681 0.435534
0.449701 0.437838
0.449721 0.440127
0.449741 0.442399
0.449762 0.444654
0.449782 0.446891
0.449802 0.449108
0.449822 0.451305
0.449843 0.453481
0.449863 0.455634
0.449883 0.457764
0.449903 0.45987
0.449924 0.46195
0.449944 0.464004
0.449964 0.466031
0.449984 0.46803
0.450005 0.47
0.450025 0.471967
0.450045 0.473941
0.450065 0.47592
0.450086 0.477905
0.450106 0.479893
0.450126 0.481883
0.450146 0.483874
0.450167 0.485866
0.450187 0.487856
0.450207 0.489844
0.450227 0.491828
0.450248 0.493808
0.450268 0.495781
0.450288 0.497748
0.450308 0.499707
0.450329 0.501656
0.450349 0.503594
0.450369 0.505521
0.45039 0.507435
0.45041 0.509335
0.45043 0.51122
0.45045 0.513088
0.450471 0.514938
0.450491 0.51677
0.450511 0.518581
0.450532 0.520371
0.450552 0.522139
0.450572 0.523884
0.450593 0.525604
0.450613 0.527297
0.450633 0.528964
0.450653 0.530602
0.450674 0.532211
0.450694 0.533789
0.450714 0.535336
0.450735 0.536849
0.450755 0.538328
0.450775 0.539771
0.450796 0.541178
0.450816 0.542548
0.450836 0.543878
0.450857 0.545168
0.45087700000000003 0.546416
0.450897 0.547622
0.450918 0.548784
0.450938 0.549901
0.450958 0.550972
0.450979 0.551996
0.450999 0.552971
0.451019 0.553873
0.45104 0.554687
0.45106 0.555427
0.45108 0.556113
0.451101 0.556761
0.451121 0.557391
0.451141 0.55801
0.451162 0.558617
0.451182 0.559214
0.451202 0.559801
0.451223 0.560378
0.451243 0.560945
0.451264 0.561503
0.451284 0.562053
0.451304 0.562594
0.451325 0.563127
0.451345 0.563653
0.451365 0.564171
0.451386 0.564683
0.451406 0.565188
0.451427 0.565687
0.451447 0.56618
0.451467 0.566668
0.451488 0.567151
0.451508 0.56763
0.451528 0.568104
0.451549 0.568575
0.451569 0.569042
0.45159 0.569506
0.45161 0.569967
0.45163 0.570426
0.451651 0.570883
0.451671 0.571338
0.451692 0.571792
0.451712 0.572246
0.451732 0.572699
0.451753 0.573152
0.451773 0.573605
0.451794 0.57406
0.451814 0.574515
0.451834 0.574971
0.451855 0.57543
0.451875 0.575891
0.451896 0.576354
0.451916 0.576821
0.451937 0.577291
0.451957 0.577764
0.451977 0.578242
0.451998 0.578724
0.452018 0.579208
0.452039 0.579687
0.452059 0.580163
0.45208 0.580635
0.4521 0.581103
0.45212 0.581569
0.452141 0.582032
0.452161 0.582492
0.452182 0.582949
0.452202 0.583405
0.452223 0.583859
0.452243 0.584311
0.452264 0.584762
0.452284 0.585212
0.452304 0.585661
0.452325 0.58611
0.452345 0.586558
0.452366 0.587007
0.452386 0.587455
0.452407 0.587904
0.452427 0.588354
0.452448 0.588805
0.452468 0.589256
0.452489 0.58971
0.452509 0.590165
0.45253 0.590622
0.45255 0.591082
0.452571 0.591544
0.452591 0.592009
0.452612 0.592476
0.452632 0.592948
0.452653 0.593422
0.452673 0.593901
0.452694 0.594383
0.452714 0.59487
0.452735 0.595362
0.452755 0.595858
