#
#  GF1/WFV4 RSR
#
#  from Rugang Tang Excel files
#
#  Tabulated QV 2019-03-05
#
# Wavelength (nm)	RSR
#
# BAND 1 Blue
782	7.77E-06
783	9.18E-06
784	8.73E-06
785	8.27E-06
786	9.49E-06
787	0.000011825
788	0.000011687
789	0.00001228
790	0.000013138
791	0.00001578
792	0.00001615
793	0.000017947
794	0.000018405
795	0.000021271
796	0.000021709
797	0.000025504
798	0.00002826
799	0.000030349
800	0.000031761
801	0.000032193
802	0.000034244
803	0.00003631
804	0.000038482
805	0.000039169
806	0.000039821
807	0.00004167
808	0.000043689
809	0.000043937
810	0.000044755
811	0.000048309
812	0.00004769
813	0.000045815
814	0.000045377
815	0.000045661
816	0.000043503
817	0.000040782
818	0.000043111
819	0.00004164
820	0.000040377
821	0.000039223
822	0.000039798
823	0.000037513
824	0.00003804
825	0.000033573
826	0.000035518
827	0.000032483
828	0.000028606
829	0.000031284
830	0.00003077
831	0.000029588
832	0.000027486
833	0.000027739
834	0.000025752
835	0.000025362
836	0.000023777
837	0.000023008
838	0.000023333
839	0.000019536
840	0.000020418
841	0.000018897
842	0.000016711
843	0.000019411
844	0.000017009
845	0.000015772
846	0.000014628
847	0.000013383
848	0.000013059
849	0.000012723
850	0.000012273
851	0.000010962
852	9.53E-06
853	0.000010172
854	8.73E-06
855	8.93E-06
856	8.11E-06
857	8.02E-06
858	6.62E-06
859	5.41E-06
860	5.94E-06
861	6.22E-06
862	5.24E-06
863	0.000005936
864	5.51E-06
865	5.41E-06
866	4.94E-06
867	4.51E-06
868	5.08E-06
869	5.05E-06
870	4.58E-06
871	5.65E-06
872	5.27E-06
873	5.40E-06
874	5.76E-06
875	7.38E-06
876	7.16E-06
877	8.08E-06
878	8.34E-06
879	9.00E-06
880	9.59E-06
881	0.000010427
882	0.000011237
883	0.000012936
884	0.00001287
885	0.000015494
886	0.000016418
887	0.000018841
888	0.000019886
889	0.000021001
890	0.000022097
891	0.000021668
892	0.000024728
893	0.000023853
894	0.000024018
895	0.000024439
896	0.000021289
897	0.000021329
898	0.000021962
899	0.000018877
900	0.000019001
901	0.00001928
902	0.000018275
903	0.000015657
904	0.000015969
905	0.000015248
906	0.000011592
907	0.000013899
908	0.000011854
909	0.000010232
910	0.000011148
911	0.000011859
912	0.000012484
913	0.000011103
914	0.000011087
915	0.000012462
916	8.35E-06
917	0.000010437
918	9.56E-06
919	0.000011712
920	7.65E-06
921	8.70E-06
922	9.66E-06
923	9.24E-06
924	0.000010655
925	7.35E-06
926	0.000011609
927	0.000011557
928	9.53E-06
929	0.000006851
930	0.000010485
931	8.05E-06
932	0.000011879
933	0.000010948
934	0.000012656
935	5.35E-06
936	0.000011477
937	0.000012577
938	0.000013291
939	0.000011468
940	0.000016531
941	0.000012265
942	0.000011893
943	0.000014408
944	0.000014029
945	0.000017551
946	0.000014197
947	0.00001149
948	0.000014601
949	0.000012978
950	0.00001521
951	0.000011159
952	0.000012243
953	0.000013224
954	0.000011968
955	0.000013103
956	0.000010553
957	0.000010991
958	0.000011772
959	0.000012533
960	0.000009015
961	0.000011521
962	9.70E-06
963	0.000011398
964	0.000012201
965	0.0000111
966	0.00001225
967	0.000011912
968	0.000011168
