# Quinten Vanhellemont 2022-12-15 from Landsat4MSS_Ba\ndAverageRSR.xls
# https://landsat.gsfc.nasa.gov
#
#  Landsat 4 MSS Band 1
#
#  Wavelength
#   (microns)	Reflectance
#
0.45	0.000
0.46	0.000
0.47	0.010
0.48	0.035
0.49	0.255
0.5	0.708
0.51	0.899
0.52	0.945
0.53	1.000
0.54	0.982
0.55	0.993
0.56	0.963
0.57	0.955
0.58	0.872
0.59	0.888
0.6	0.644
0.61	0.359
0.62	0.086
0.63	0.040
0.64	0.020
0.65	0.010
#
#  Landsat 4 MSS Band 2
#
#  Wavelength
#   (microns)	Reflectance
#
0.550	0.000
0.560	0.000
0.570	0.000
0.580	0.000
0.590	0.028
0.600	0.386
0.610	0.804
0.620	0.957
0.630	0.997
0.640	1.000
0.650	0.958
0.660	0.921
0.670	0.906
0.680	0.855
0.690	0.798
0.700	0.380
0.710	0.125
0.720	0.033
0.730	0.008
0.740	0.000
0.750	0.000
#
#  Landsat 4 MSS Band 3
#
#  Wavelength
#   (microns)	Reflectance
#
0.650	0.000
0.660	0.000
0.670	0.000
0.680	0.010
0.690	0.083
0.700	0.455
0.710	0.912
0.720	1.000
0.730	0.935
0.740	0.887
0.750	0.890
0.760	0.860
0.770	0.835
0.780	0.795
0.790	0.747
0.800	0.687
0.810	0.650
0.820	0.135
0.830	0.022
0.840	0.007
0.850	0.002
#
#  Landsat 4 MSS Band 4
#
#  Wavelength
#   (microns)	Reflectance
#
0.740	0.000
0.760	0.000
0.780	0.010
0.800	0.201
0.820	1.000
0.840	0.995
0.860	0.983
0.880	0.956
0.900	0.954
0.920	0.959
0.940	0.894
0.960	0.818
0.980	0.747
1.000	0.628
1.020	0.510
1.040	0.436
1.060	0.341
1.080	0.275
1.100	0.191
1.120	0.103
1.140	0.022
