#
#  GF1/WFV2 RSR
#
#  from Rugang Tang Excel files
#
#  Tabulated QV 2019-03-05
#
# Wavelength (nm)	RSR
#
# BAND 1 Blue
400	0.00045915
401	0.00037443
402	0.00033911
403	0.00034695
404	0.00038598
405	0.00048166
406	0.00056861
407	0.00054838
408	0.0006072
409	0.00062473
410	0.00071376
411	0.00080057
412	0.00089332
413	0.00096083
414	0.00084495
415	0.00095613
416	0.00091585
417	0.000924
418	0.0010823
419	0.0012919
420	0.001308
421	0.0014484
422	0.0015143
423	0.0015334
424	0.0016556
425	0.0017283
426	0.001982
427	0.002065
428	0.0022471
429	0.0023953
430	0.0024344
431	0.0027008
432	0.0028509
433	0.0032371
434	0.0039767
435	0.0046386
436	0.0059412
437	0.0070388
438	0.0088128
439	0.010253
440	0.012595
441	0.014954
442	0.018585
443	0.02211
444	0.028366
445	0.034257
446	0.045126
447	0.055733
448	0.074535
449	0.092248
450	0.12676
451	0.15978
452	0.22036
453	0.27633
454	0.36844
455	0.44286
456	0.5517
457	0.62497
458	0.70918
459	0.75436
460	0.78888
461	0.82026
462	0.82863
463	0.83466
464	0.83809
465	0.83612
466	0.83786
467	0.84814
468	0.85751
469	0.87072
470	0.88625
471	0.9062
472	0.91774
473	0.93053
474	0.93518
475	0.94018
476	0.94088
477	0.94578
478	0.95113
479	0.9578
480	0.96203
481	0.97165
482	0.97708
483	0.98218
484	0.98573
485	0.98536
486	0.98279
487	0.97634
488	0.97059
489	0.96608
490	0.9636
491	0.96316
492	0.96562
493	0.96773
494	0.97631
495	0.97936
496	0.98481
497	0.98621
498	0.98917
499	0.98756
500	0.98829
501	0.99158
502	0.99135
503	0.99236
504	0.99422
505	0.99711
506	1
507	0.99766
508	0.9906
509	0.98599
510	0.96726
511	0.94731
512	0.90723
513	0.8709
514	0.81214
515	0.76569
516	0.69547
517	0.64809
518	0.57431
519	0.52094
520	0.43325
521	0.37461
522	0.29011
523	0.23462
524	0.16544
525	0.12457
526	0.090205
527	0.054425
528	0.03629
529	0.019159
530	0.011647
531	0.0052618
532	0.0029183
533	0.0012741
534	0.00085156
535	0.00070107
536	0.00077288
537	0.00089985
538	0.00098611
539	0.0010545
540	0.0010719
541	0.001053
542	0.00099853
543	0.00091888
544	0.00083899
545	0.00072782
546	0.0006458
547	0.00053249
548	0.00046097
549	0.00036614
550	0.00030553
551	0.00023336
552	0.00018702
553	0.00013777
554	0.00011056
555	0.000079594
556	0.000063939
557	0.000048244
558	0.000041316
559	0.000035562
560	0.000033953
561	0.000033449
562	0.000034675
563	0.000036993
564	0.000038914
565	0.000040938
566	0.000043281
567	0.000045125
568	0.000047293
569	0.00004943
570	0.00004978
571	0.000050832
572	0.000051304
573	0.000051095
574	0.000051842
575	0.000051649
576	0.000051756
577	0.000050833
578	0.000050698
579	0.000049267
580	0.000049229
581	0.000048494
582	0.000047473
583	0.000045761
584	0.000044405
585	0.000042917
586	0.000041845
587	0.000039599
588	0.000037553
589	0.000034875
590	0.000031325
591	0.000028772
592	0.000025361
593	0.000023097
594	0.000020067
595	0.000017945
596	0.000015067
597	0.000013184
598	0.000010887
599	9.59E-06
600	8.33E-06
601	7.41E-06
602	6.45E-06
603	0.000005682
604	0.000004924
605	4.58E-06
606	4.31E-06
607	4.09E-06
608	3.86E-06
609	3.86E-06
610	3.84E-06
611	3.94E-06
612	4.01E-06
613	4.32E-06
614	4.62E-06
615	5.01E-06
616	0.000005652
617	6.22E-06
618	7.21E-06
619	7.72E-06
620	8.97E-06
621	9.68E-06
622	0.000010678
623	0.000011271
624	0.000011581
625	0.000011052
626	9.93E-06
627	8.84E-06
628	7.16E-06
629	6.04E-06
630	5.00E-06
631	4.32E-06
632	3.38E-06
633	2.98E-06
634	2.36E-06
635	2.10E-06
636	0.000001698
637	1.56E-06
638	1.35E-06
639	0.000001257
640	1.11E-06
641	1.03E-06
642	8.27E-07
643	7.55E-07
644	7.40E-07
645	6.04E-07
646	5.98E-07
647	5.25E-07
648	5.78E-07
649	4.69E-07
650	4.52E-07
651	3.98E-07
652	3.09E-07
653	2.83E-07
654	2.72E-07
655	2.57E-07
656	2.33E-07
657	2.16E-07
658	1.98E-07
659	1.69E-07
660	1.59E-07
661	1.39E-07
662	1.13E-07
663	1.27E-07
664	1.25E-07
665	1.39E-07
666	1.36E-07
667	1.24E-07
668	1.40E-07
669	1.35E-07
670	1.23E-07
671	1.43E-07
672	1.53E-07
673	1.85E-07
674	1.87E-07
675	2.11E-07
676	2.38E-07
677	2.51E-07
678	3.02E-07
679	2.65E-07
680	2.97E-07
681	3.27E-07
682	3.77E-07
683	4.57E-07
684	4.68E-07
685	4.37E-07
686	4.49E-07
687	4.44E-07
688	5.15E-07
689	4.27E-07
690	5.10E-07
691	4.79E-07
692	5.72E-07
693	5.10E-07
694	5.96E-07
695	5.95E-07
696	5.28E-07
697	4.37E-07
698	4.52E-07
699	4.30E-07
700	3.75E-07
701	4.51E-07
702	4.10E-07
703	4.42E-07
704	3.84E-07
705	4.59E-07
706	3.89E-07
707	3.68E-07
708	3.93E-07
709	3.09E-07
710	3.32E-07
711	4.83E-07
712	3.69E-07
713	4.50E-07
714	4.92E-07
715	4.61E-07
716	4.52E-07
717	4.31E-07
718	4.83E-07
719	5.01E-07
720	5.29E-07
721	6.66E-07
722	6.40E-07
723	7.17E-07
724	8.95E-07
725	8.75E-07
726	9.81E-07
727	1.04E-06
728	1.17E-06
729	1.27E-06
730	0.000001525
731	1.79E-06
732	2.22E-06
733	2.38E-06
734	2.72E-06
735	2.86E-06
736	2.73E-06
737	2.39E-06
738	2.05E-06
739	1.72E-06
740	1.43E-06
741	1.12E-06
742	1.03E-06
743	8.53E-07
744	7.57E-07
745	6.63E-07
746	6.18E-07
747	5.06E-07
748	4.89E-07
749	4.59E-07
750	4.59E-07
751	4.26E-07
752	4.92E-07
753	4.87E-07
754	5.22E-07
755	5.30E-07
756	6.00E-07
757	6.13E-07
758	8.13E-07
759	7.43E-07
760	1.01E-06
761	8.35E-07
762	9.68E-07
763	8.91E-07
764	1.09E-06
765	1.29E-06
766	1.32E-06
767	1.36E-06
768	1.86E-06
769	1.73E-06
770	2.27E-06
771	2.21E-06
772	2.34E-06
773	2.60E-06
774	2.45E-06
775	2.37E-06
776	2.92E-06
777	3.44E-06
778	3.25E-06
779	3.69E-06
780	3.88E-06
781	4.18E-06
782	4.93E-06
783	5.76E-06
784	5.54E-06
785	5.13E-06
786	5.96E-06
787	7.23E-06
788	7.24E-06
789	7.53E-06
790	8.14E-06
791	9.72E-06
792	0.00001036
793	0.000011438
794	0.000011479
795	0.000013646
796	0.000013553
797	0.000015
798	0.00001709
799	0.000018089
800	0.00001894
801	0.00001988
802	0.000020849
803	0.000022925
804	0.000023905
805	0.000024599
806	0.000024157
807	0.000025895
808	0.000025718
809	0.00002609
810	0.000024981
811	0.00002786
812	0.000026469
813	0.000026712
814	0.000025934
815	0.000026882
816	0.00002558
817	0.000024657
818	0.000025873
819	0.000024838
820	0.000023378
821	0.000021968
822	0.000022999
823	0.000020939
824	0.00002161
825	0.000018164
826	0.000019335
827	0.000017508
828	0.000016073
829	0.000017667
830	0.000018106
831	0.00001722
832	0.000016467
833	0.000015218
834	0.000015143
835	0.000014646
836	0.000013953
837	0.000012539
838	0.000014222
839	0.000011193
840	0.000012203
841	0.000010893
842	0.00001021
843	0.000012213
844	0.00001001
845	0.000009643
846	0.000009624
847	8.23E-06
848	7.50E-06
849	7.40E-06
850	7.15E-06
851	6.68E-06
852	0.000006294
853	6.95E-06
854	6.04E-06
855	5.74E-06
856	6.00E-06
857	5.07E-06
858	5.02E-06
859	4.01E-06
860	4.13E-06
861	0.000004084
862	3.65E-06
863	3.97E-06
864	3.51E-06
865	3.39E-06
866	2.56E-06
867	2.34E-06
868	2.22E-06
869	1.93E-06
870	2.37E-06
871	2.22E-06
872	2.05E-06
873	1.37E-06
874	1.61E-06
875	1.99E-06
876	2.86E-06
877	0.000002236
878	2.47E-06
879	1.63E-06
880	2.11E-06
881	1.70E-06
882	3.36E-06
883	2.66E-06
884	1.75E-06
885	2.77E-06
886	3.26E-06
887	3.40E-06
888	3.35E-06
889	3.30E-06
890	0.00000479
891	0.00000468
892	5.51E-06
893	5.36E-06
894	4.94E-06
895	5.38E-06
896	4.49E-06
897	4.58E-06
898	5.48E-06
899	0.000004476
900	4.71E-06
901	5.10E-06
902	4.60E-06
903	4.24E-06
904	4.11E-06
905	4.20E-06
906	3.09E-06
907	0.000003799
908	3.25E-06
909	3.02E-06
910	3.24E-06
911	3.39E-06
912	3.56E-06
913	3.27E-06
914	3.03E-06
915	0.000003811
916	2.55E-06
917	3.06E-06
918	2.79E-06
919	3.82E-06
920	2.66E-06
921	2.89E-06
922	3.29E-06
923	3.07E-06
924	3.69E-06
925	2.79E-06
926	4.25E-06
927	4.18E-06
928	3.31E-06
929	2.67E-06
930	3.79E-06
931	3.09E-06
932	4.77E-06
933	3.99E-06
934	4.76E-06
935	1.96E-06
936	0.000004327
937	5.06E-06
938	5.06E-06
939	4.52E-06
940	7.36E-06
941	5.21E-06
942	4.90E-06
943	6.37E-06
944	0.000006218
945	7.99E-06
946	6.56E-06
947	5.12E-06
948	7.17E-06
949	6.05E-06
950	7.68E-06
951	5.55E-06
952	5.65E-06
953	6.57E-06
954	0.000006191
955	6.43E-06
956	5.12E-06
957	5.43E-06
958	0.000005742
959	6.68E-06
960	4.66E-06
961	5.89E-06
962	5.31E-06
963	5.80E-06
964	6.33E-06
965	6.11E-06
966	6.45E-06
967	6.70E-06
968	6.45E-06
969	6.72E-06
970	5.64E-06
971	6.59E-06
972	5.55E-06
973	0.000007467
974	5.69E-06
