## Polynomial coefficients to adjust the differences between blue to green ratios among different sensor bands
## From Jaime Pitarch 4 Feb 2021
## retabulated to csv QV 2021-02-15
## changed sensor names to fit ACOLITE names
## copied PlanetScope SD5/SD8 coeffs from PS22 2022-02-21
## added new L9/OLI coeffs 2022-02-21
sensor,p4,p3,p2,p1,p0
L4_TM,0,0,0.141729954509453,0.400392357732455,0.064037584456429
L5_TM,0,0,0.149680978457147,0.390774628431815,0.068354278542336
L7_ETM,0,-0.005638373499296,0.202401353371802,0.475880186573988,0.037058128867338
L8_OLI,0,0,0.167206826639722,0.548575422777838,0.022365423521231
L9_OLI,0,0,0.167147124045003,0.559399195337212,0.017871329532969
S2A_MSI,0,0.010022446827517,0.226931331017932,0.54018706426096,-0.020852045105248
S2B_MSI,0,0.009592893316479,0.238762778999152,0.539831865934288,-0.025511421497761
PHR1A,0,0.020095381712331,0.611234451999224,-0.053209345583596,0.126071880998538
PHR1B,0,0.020095381712331,0.611234451999224,-0.053209345583596,0.126071880998538
PlanetScope_0c,0.62211615884388,-2.05399116933227,3.70866429391252,-2.25303459723677,0.658542166919296
PlanetScope_0d05,0.623034563435143,-2.05764389187317,3.7142446609805,-2.25685623111849,0.659462204174385
PlanetScope_0d06,0.623034563435143,-2.05764389187317,3.7142446609805,-2.25685623111849,0.659462204174385
PlanetScope_0e,1.07840052167055,-3.59734088419804,6.22731278148113,-4.06846248460706,1.07213563681058
PlanetScope_0f,0.873197289763532,-2.83880664942391,5.02605642857373,-3.22296818373026,0.868836278459073
PlanetScope_22,0,0.00953977854606,0.12534836868299,0.565847980534137,0.011577469159337
PlanetScope_SD5,0,0.00953977854606,0.12534836868299,0.565847980534137,0.011577469159337
PlanetScope_SD8,0,0.00953977854606,0.12534836868299,0.565847980534137,0.011577469159337
RapidEye,0,-0.005641617326074,0.216526995465803,0.578922969112752,-0.004748950891977
WorldView2,0,-0.002547584535625,0.322795022215638,0.541720318788136,-0.038057426369469
WorldView3,0,0.004014078808274,0.345075711392084,0.508684251941189,-0.041214223307284
VENµS_VSSC,0,0.035070650412148,0.151045289535913,0.644829186156921,-0.06704392811761
