## Coefficient for Raman scattering correction
## From Jaime Pitarch 4 Feb 2021
## retabulated to csv QV 2021-02-15
## changed sensor names to fit ACOLITE names
## copied PlanetScope SD5/SD8 coeffs from PS22 2022-02-21
## added new L9/OLI coeffs 2022-02-21
sensor,B,G,R
L4_TM,-0.047637,-0.078162,-0.0808
L5_TM,-0.047799,-0.078087,-0.080803
L7_ETM,-0.04369,-0.076738,-0.08083
L8_OLI,-0.045962,-0.078118,-0.080853
L9_OLI,-0.045805824925542,-0.078093432059883,-0.080852567863604
S2A_MSI,-0.051057530141308,-0.079032147232021,-0.08090846451653
S2B_MSI,-0.050894,-0.07886,-0.080914
PHR1A,-0.050431,-0.075198,-0.079951
PHR1B,-0.052268,-0.074559,-0.079826
PlanetScope_0c,-0.049633,-0.068644,-0.077694
PlanetScope_0d05,-0.049635,-0.068644,-0.077692
PlanetScope_0d06,-0.049635,-0.068644,-0.077692
PlanetScope_0e,-0.054206,-0.069442,-0.079709
PlanetScope_0f,-0.053186,-0.069438,-0.079614
PlanetScope_22,-0.050521,-0.079628,-0.080912
PlanetScope_SD5,-0.050521,-0.079628,-0.080912
PlanetScope_SD8,-0.050521,-0.079628,-0.080912
RapidEye,-0.042722,-0.076248,-0.080826
WorldView2,-0.044028,-0.074305,-0.080825
WorldView3,-0.045537,-0.074133,-0.080829
VENµS_VSSC,-0.05128,-0.077893,-0.080928
