% Combined data for Waterradiance	pure water absorption, salinity and temperature coefficient	related uncertainties		
% see relevant ATBD for more details!
% R. Rˆttgers, HZG
%Wavelength 	a (m-1), 20degreeC, 0 PSU	PsiS (m-1 PSU-1)	PsiT (m-1 degreeC-1)	sigma a (m-1)	sigmaPsiS  (m-1 PSU-1)	sigmaPsiT (m-1 degreeC-1)
502	0.02265	-0.00000126	-0.000005	0.000919	0.000014	0.000029
504	0.02475	0.000000691	0.000003	0.000778	0.000015	0.000029
506	0.02705	0.00000455	0.000014	0.000919	0.000013	0.000029
508	0.0293	0.00000457	0.000031	0.001838	0.00001	0.000031
510	0.03315	-0.00000118	0.000054	0.000919	0.000007	0.000031
512	0.036217	0.00000457	0.000078	0.000825	0.000018	0.00003
514	0.03885	0.00000461	0.000094	0.000636	0.000013	0.000028
516	0.0404	0.00002	0.000099	0.00099	0.000012	0.000028
518	0.04105	0.0000123	0.000095	0.001626	0.000016	0.000028
520	0.0418	0.0000143	0.000082	0.001273	0.000016	0.000027
522	0.042183	0.0000201	0.000069	0.001155	0.000019	0.000025
524	0.042575	0.0000143	0.000057	0.001308	0.000016	0.000026
526	0.043133	0.0000201	0.000044	0.001508	0.000013	0.00003
528	0.0438	0.0000182	0.000031	0.001414	0.00002	0.000033
530	0.0445	0.0000144	0.000018	0.001556	0.000017	0.000033
532	0.045383	0.0000163	0.000006	0.001579	0.000007	0.000034
534	0.046175	0.0000125	-0.000004	0.001732	0.000013	0.000036
536	0.047033	0.0000163	-0.000011	0.001933	0.000013	0.000034
538	0.0481	0.0000125	-0.000016	0.002121	0.000019	0.000031
540	0.0491	0.0000106	-0.000019	0.002404	0.000007	0.000029
542	0.0503	0.0000125	-0.000024	0.002687	0.000012	0.000028
544	0.05195	0.000000955	-0.00003	0.002758	0.000008	0.000029
546	0.053833	0.00000863	-0.000034	0.00264	0.000023	0.000028
548	0.0557	0.0000125	-0.000035	0.002828	0.000019	0.000028
550	0.0581	0.00000286	-0.000031	0.002263	0.000011	0.000028
552	0.059833	0.00000477	-0.000031	0.002074	0.000019	0.00003
554	0.061025	0.00000669	-0.000034	0.002227	0.000015	0.00003
556	0.061867	0.00000675	-0.000044	0.002734	0.000009	0.000029
558	0.06265	0.0000125	-0.000052	0.002899	0.000013	0.00003
560	0.0638	0.0000068	-0.000059	0.002687	0.000014	0.000032
562	0.065	0.0000106	-0.000067	0.002404	0.000012	0.000034
564	0.0661	-0.00000279	-0.000076	0.002828	0.000015	0.000031
566	0.0674	0.00000104	-0.000082	0.003111	0.000014	0.000028
568	0.0693	-0.00000089	-0.000086	0.00297	0.000013	0.000025
570	0.0716	-0.0000009	-0.00009	0.00297	0.00001	0.000027
572	0.074317	-0.00000283	-0.000091	0.003229	0.000019	0.000031
574	0.077675	-0.00000668	-0.000086	0.003429	0.000011	0.000036
576	0.081867	-0.00000862	-0.000074	0.003583	0.000019	0.000038
578	0.08665	-0.0000106	-0.000054	0.004313	0.000021	0.000039
580	0.093	-0.0000106	-0.000024	0.004808	0.000021	0.000044
582	0.09995	-0.0000144	0.00002	0.005869	0.000014	0.000044
584	0.108775	-0.0000125	0.000073	0.006116	0.000025	0.000041
586	0.1187	-0.0000222	0.000127	0.006647	0.000023	0.000037
588	0.1283	-0.0000183	0.000176	0.00891	0.000015	0.00004
590	0.1411	-0.0000222	0.00023	0.008485	0.000016	0.000045
592	0.15385	-0.0000183	0.000297	0.01096	0.000019	0.000045
594	0.16915	-0.0000202	0.000382	0.013789	0.000016	0.000037
596	0.188017	-0.0000318	0.000486	0.017513	0.000014	0.000035
598	0.2082	-0.0000414	0.000616	0.022203	0.000035	0.000052
600	0.23525	-0.0000433	0.000759	0.007059	0.000022	0.00008
602	0.2388	-0.0000433	0.000887	0.007164	0.000026	0.000089
604	0.25235	-0.0000126	0.000976	0.007572	0.000012	0.000084
606	0.259433	0.00000464	0.001015	0.007782	0.000025	0.000069
608	0.2629	0.0000219	0.000995	0.007887	0.000011	0.000071
610	0.2644	0.0000353	0.000924	0.007932	0.000024	0.000067
612	0.2658	0.000043	0.000826	0.007974	0.000027	0.000056
614	0.26715	0.0000487	0.000733	0.008016	0.000019	0.000043
616	0.268767	0.000041	0.000661	0.008064	0.000018	0.000043
618	0.2707	0.0000621	0.000593	0.008121	0.000024	0.000054
620	0.2755	0.0000544	0.000516	0.008265	0.000027	0.000058
622	0.279167	0.0000467	0.000428	0.008376	0.000023	0.000071
624	0.2822	0.0000486	0.000338	0.008466	0.000016	0.000092
626	0.285733	0.0000467	0.000238	0.008571	0.000019	0.000104
628	0.2904	0.0000467	0.000142	0.008712	0.000017	0.000095
630	0.2916	0.0000447	0.000069	0.008748	0.000023	0.000075
632	0.296867	0.0000447	0.00001	0.008907	0.000015	0.000058
634	0.30035	0.0000408	-0.000048	0.009012	0.000016	0.000062
636	0.303367	0.0000408	-0.000106	0.009102	0.000027	0.000061
638	0.3077	0.0000408	-0.000166	0.009231	0.000014	0.000079
640	0.3108	0.0000312	-0.000219	0.009324	0.000018	0.000099
642	0.318267	0.0000331	-0.000254	0.009549	0.000017	0.000108
644	0.3235	0.000035	-0.000272	0.009705	0.000022	0.000107
646	0.328333	0.0000292	-0.000309	0.009849	0.000023	0.000093
648	0.335	0.0000215	-0.000355	0.01005	0.000014	0.000084
650	0.34	0.0000215	-0.000362	0.0102	0.000021	0.000056
652	0.352	0.0000176	-0.00034	0.01056	0.000022	0.000047
654	0.3645	0.00000802	-0.000291	0.010935	0.000016	0.00005
656	0.378333	-0.00000351	-0.000191	0.011349	0.000022	0.000086
658	0.393	-0.0000227	-0.000059	0.01179	0.000017	0.0001
660	0.41	-0.0000151	0.000054	0.0123	0.000013	0.000074
662	0.419333	-0.00000356	0.000092	0.012579	0.000017	0.000047
664	0.4265	0.00000985	0.000086	0.012795	0.000024	0.000046
666	0.431333	0.0000175	0.000039	0.012939	0.000015	0.000034
668	0.436	0.00000981	-0.000011	0.01308	0.000016	0.000058
670	0.439	0.0000155	-0.00006	0.01317	0.000035	0.00009
672	0.445	0.00000592	-0.000111	0.01335	0.000025	0.000109
674	0.448	0.00000781	-0.000192	0.01344	0.000009	0.000083
676	0.452333	-0.00000181	-0.000277	0.013569	0.000016	0.000078
678	0.461	-0.0000153	-0.000345	0.01383	0.000024	0.000085
680	0.465	-0.0000249	-0.000384	0.01395	0.000011	0.000102
682	0.473667	-0.0000364	-0.000406	0.014211	0.000016	0.000106
684	0.482	-0.0000422	-0.000432	0.01446	0.000018	0.000117
686	0.491333	-0.0000557	-0.000466	0.014739	0.000013	0.000109
688	0.502	-0.0000672	-0.000473	0.01506	0.000016	0.000086
690	0.516	-0.0000826	-0.000456	0.01548	0.000019	0.000067
692	0.530667	-0.000098	-0.000443	0.015921	0.000015	0.000077
694	0.5485	-0.000109507	-0.000441	0.016455	0.000021	0.000069
696	0.57	-0.000132562	-0.000421	0.0171	0.000012	0.000086
698	0.592	-0.000153692	-0.00033	0.01776	0.000018	0.000118
700	0.6126	-0.000169052	-0.000011	0.016122	0.000018	0.000138
